% Model,焚烧炉-稳态-固体和流体传热，湍流.mph
% Version,COMSOL 6.4.0.293
% Date,"Apr 29 2026, 04:46"
% Table,表格 27 - 表面平均 6
% rd,w_b,温度 (K)
0.5,0,1225.908707464223
0.5,10,1186.1713035544842
0.5,20,1137.2894750805394
0.5,30,1075.6570699211195
0.5,40,995.4691679270354
0.5,50,886.6322975826877
1,0,1303.375431953452
1,10,1259.6420147121116
1,20,1205.9342808369754
1,30,1138.3863077245771
1,40,1050.7466783864004
1,50,932.2076178935507
1.5,0,1344.826940894515
1.5,10,1299.0362606226802
1.5,20,1242.8585252494518
1.5,30,1172.2858417642494
1.5,40,1080.893461548299
1.5,50,957.5148977370299
2,0,1373.204285874084
2,10,1326.1392989764224
2,20,1268.4505861941404
2,30,1196.0009956014435
2,40,1102.1216413612942
2,50,975.2594519304105
2.5,0,1394.67082641705
2.5,10,1346.602042117689
2.5,20,1287.6321226919717
2.5,30,1213.5223155803042
2.5,40,1117.4831660542407
2.5,50,987.7663991604896
3,0,1411.0694922575294
3,10,1362.096108207664
3,20,1302.0422225505395
3,30,1226.6145877570084
3,40,1128.9242389865897
3,50,997.0905579880615
3.5,0,1423.8512768373232
3.5,10,1374.1826703534534
3.5,20,1313.2894151839246
3.5,30,1236.8276798878092
3.5,40,1137.8680131650824
3.5,50,1004.4100965237441
