% Model,焚烧炉-稳态-固体和流体传热，湍流.mph
% Version,COMSOL 6.4.0.293
% Date,"Apr 29 2026, 04:47"
% Table,表格 28 - 表面平均 7
% rd,w_b,速度场，z 分量 (m/s)
0.5,0,2.758652435020825
0.5,10,2.70367889795624
0.5,20,2.6334977467981826
0.5,30,2.5409076701094744
0.5,40,2.413440557322943
0.5,50,2.22686586184374
1,0,5.854888989331798
1,10,5.731501204701644
1,20,5.574673456608829
1,30,5.368488811361382
1,40,5.085637557644056
1,50,4.673698909758673
1.5,0,9.051640571230902
1.5,10,8.857030947115248
1.5,20,8.607943847490025
1.5,30,8.282174954361258
1.5,40,7.836862610032322
1.5,50,7.1901781242107
2,0,12.31131849185086
2,10,12.041910993881778
2,20,11.701061411640698
2,30,11.254521130708202
2,40,10.643971003762976
2,50,9.75656111622264
2.5,0,15.617635824086001
2.5,10,15.27442464639594
2.5,20,14.838350987839442
2.5,30,14.265572683169664
2.5,40,13.482642335896875
2.5,50,12.345823343280971
3,0,18.952986828008815
3,10,18.53147958927826
3,20,17.996313812576872
3,30,17.296168239629168
3,40,16.338393231731455
3,50,14.949003177488667
3.5,0,22.303360021107785
3.5,10,21.804470961874163
3.5,20,21.17035249155366
3.5,30,20.34011994588096
3.5,40,19.206559243172688
3.5,50,17.564312262043142
