% Model,焚烧炉-稳态-固体和流体传热，湍流.mph
% Version,COMSOL 6.4.0.293
% Date,"Apr 29 2026, 04:42"
% Table,表格 23 - 燃烧区域平均温度
% rd,w_b,温度 (K)
0.5,0,1283.8693278127964
0.5,10,1239.7932196705594
0.5,20,1185.8347031541398
0.5,30,1118.2084450917669
0.5,40,1030.8566905665125
0.5,50,913.3746449068086
1,0,1300.2322150075272
1,10,1255.2840530331537
1,20,1200.273682115183
1,30,1131.3610276943577
1,40,1042.406282317177
1,50,922.8696825270522
1.5,0,1307.3788760776658
1.5,10,1262.0558161032282
1.5,20,1206.5793144218146
1.5,30,1137.1071395570004
1.5,40,1047.42829126382
1.5,50,926.9281836901354
2,0,1311.5622360270693
2,10,1265.9712397277565
2,20,1210.1729012831665
2,30,1140.2847229222587
2,40,1050.1238681970392
2,50,929.0293947508446
2.5,0,1314.119688838743
2.5,10,1268.349876301181
2.5,20,1212.3617118456186
2.5,30,1142.2323303384542
2.5,40,1051.784258835669
2.5,50,930.3783205739259
3,0,1315.8660127667663
3,10,1269.9873697143141
3,20,1213.8498385307657
3,30,1143.5981359380364
3,40,1052.9857861561034
3,50,931.3527396022014
3.5,0,1317.1766413839111
3.5,10,1271.216277904112
3.5,20,1214.9994153470461
3.5,30,1144.6398994566225
3.5,40,1053.8835929691554
3.5,50,932.1007821032578
