% Model,焚烧炉-稳态-固体和流体传热，湍流.mph
% Version,COMSOL 6.4.0.293
% Date,"Apr 29 2026, 04:44"
% Table,表格 25 - 表面最小值 1
% rd,w_b,温度 (K)
0.5,0,928.9048234691052
0.5,10,899.5904910759691
0.5,20,863.7574240860288
0.5,30,819.1863967112722
0.5,40,762.1294707578643
0.5,50,686.0536517488791
1,0,1074.6678457070511
1,10,1038.708685005081
1,20,994.8249979760151
1,30,940.3528335676126
1,40,870.5449437927773
1,50,777.7043730781966
1.5,0,1162.0322760762533
1.5,10,1124.0143065018374
1.5,20,1076.0121430171134
1.5,30,1016.1687418836118
1.5,40,938.9631780699915
1.5,50,836.7477717582899
2,0,1228.004589942959
2,10,1186.7989575248414
2,20,1136.6584713600496
2,30,1074.2939695902653
2,40,994.2071518983776
2,50,886.8108579665281
2.5,0,1280.1429805409987
2.5,10,1238.690734758616
2.5,20,1186.1350959249678
2.5,30,1121.1156201736158
2.5,40,1037.0012469707954
2.5,50,923.7783861550722
3,0,1324.643174165595
3,10,1280.5472029143866
3,20,1226.1674325006481
3,30,1158.464570782536
3,40,1070.5959598875086
3,50,951.7927156960941
3.5,0,1359.5477897466114
3.5,10,1313.7888586252222
3.5,20,1257.8354842487772
3.5,30,1187.572846732926
3.5,40,1096.7525989156466
3.5,50,973.7174277131993
