% Model,焚烧炉-稳态-固体和流体传热，湍流.mph
% Version,COMSOL 6.4.0.293
% Date,"Apr 29 2026, 04:43"
% Table,表格 24 - 表面最大值 1
% rd,w_b,温度 (K)
0.5,0,1541.1920681082136
0.5,10,1485.1895593413924
0.5,20,1416.7881692005014
0.5,30,1331.2246003929772
0.5,40,1220.8564842794704
0.5,50,1072.541177984158
1,0,1545.746810559902
1,10,1489.6373196690424
1,20,1421.0833284072596
1,30,1335.284614891034
1,40,1225.4550132695667
1,50,1077.7449822853728
1.5,0,1549.7337146547102
1.5,10,1493.377485456517
1.5,20,1424.8656068537189
1.5,30,1338.8264341090733
1.5,40,1228.1156762444855
1.5,50,1079.1895069119842
2,0,1551.585065971861
2,10,1495.327385143031
2,20,1426.426141761986
2,30,1340.1737668978224
2,40,1229.132500478471
2,50,1080.1224105388847
2.5,0,1552.1425789978143
2.5,10,1495.8592432023183
2.5,20,1427.0735649190249
2.5,30,1340.7741053499376
2.5,40,1229.9756402751566
2.5,50,1081.2732918732322
3,0,1553.297784400436
3,10,1496.6380259934774
3,20,1428.488685446389
3,30,1342.0405572390307
3,40,1230.8552164757934
3,50,1082.1177710749064
3.5,0,1553.5420067990908
3.5,10,1497.3659846794128
3.5,20,1429.1023530273392
3.5,30,1342.3368095785759
3.5,40,1231.8545471051393
3.5,50,1082.3384200440544
